new_spot_id,rename,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD_1,VISIT_AREA_TYPE_CD_2,VISIT_AREA_TYPE_CD_3,VISIT_AREA_TYPE_CD_4,VISIT_AREA_TYPE_CD_5,VISIT_AREA_TYPE_CD_6,VISIT_AREA_TYPE_CD_7,VISIT_AREA_TYPE_CD_8,REVISIT_INTENTION,RCMDTN_INTENTION
spot_218,9.81파크,124.15841584158416,"레저/스포츠 관련 시설(스키, 카트, 수상레저)","테마시설(놀이공원, 워터파크)",체험 활동 관광지,missing,missing,missing,missing,missing,4.207920792079208,4.485148514851486
spot_219,왈종미술관,42.0,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,missing,missing,3.6,4.066666666666666
spot_220,제주항공우주박물관,123.65853658536585,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,missing,missing,3.5853658536585367,3.951219512195122
spot_221,귤귤스토어,26.25,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,3.75,3.75
spot_222,해녀박물관,52.5,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,missing,missing,3.775,4.05
spot_223,지미봉,55.38461538461539,"산책로, 둘레길 등",자연관광지,missing,missing,missing,missing,missing,missing,4.230769230769231,4.461538461538462
spot_224,메이즈랜드,75.0,"테마시설(놀이공원, 워터파크)",체험 활동 관광지,missing,missing,missing,missing,missing,missing,3.2,3.6
spot_225,신화워터파크,201.8181818181818,"테마시설(놀이공원, 워터파크)",missing,missing,missing,missing,missing,missing,missing,4.0,4.045454545454546
spot_226,화순금모래해수욕장,210.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,3.857142857142857,4.095238095238095
spot_227,예나르제주공예박물관,30.0,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,missing,missing,3.0,3.0
spot_228,훈데르트바서파크,61.875,"테마시설(놀이공원, 워터파크)","산책로, 둘레길 등","역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","문화 시설(공연장, 영화관, 전시관 등)",체험 활동 관광지,missing,missing,missing,3.6041666666666665,3.75
spot_229,하이제주,36.0,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,4.2,4.2
spot_231,수산봉,42.0,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,3.533333333333333,3.933333333333333
spot_232,독자봉,30.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.0,5.0
spot_233,종달리해변,35.0,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.5,4.5
spot_234,피규어뮤지엄제주,55.714285714285715,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,missing,missing,4.142857142857143,4.285714285714286
spot_235,상가리야자숲,31.363636363636363,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,missing,3.1818181818181817,3.5
spot_236,큰엉,57.5,자연관광지,"산책로, 둘레길 등","역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,4.291666666666667,4.583333333333333
spot_238,퐁당제주,60.0,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,missing,missing,missing,missing,4.5,4.5
spot_239,제주곶자왈도립공원,90.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.3125,4.375
spot_240,소정방폭포,34.285714285714285,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.0,3.142857142857143
spot_241,산지등대,40.0,"문화 시설(공연장, 영화관, 전시관 등)","산책로, 둘레길 등","역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",자연관광지,missing,missing,missing,missing,4.333333333333333,4.333333333333333
spot_242,거문오름,183.52941176470588,자연관광지,"산책로, 둘레길 등","역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,4.235294117647059,4.470588235294118
spot_243,어음리억새군락지,44.48275862068966,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.068965517241379,4.241379310344827
spot_244,노루생태관찰원,56.25,체험 활동 관광지,자연관광지,missing,missing,missing,missing,missing,missing,3.5,3.625
spot_245,파더스가든,81.08108108108108,체험 활동 관광지,"테마시설(놀이공원, 워터파크)",자연관광지,missing,missing,missing,missing,missing,3.7837837837837838,3.945945945945946
spot_246,김녕사굴,60.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,5.0,5.0
spot_249,제주도서핑샵 문서프,115.0,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,missing,missing,missing,missing,4.0,4.333333333333333
spot_250,샤카서핑패들보드팀,105.0,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,missing,missing,missing,missing,4.0,3.5
spot_251,제주해녀 항일운동기념공원,15.0,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,missing,missing,3.5,3.75
spot_252,세계자동차&피아노박물관,96.3157894736842,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,missing,missing,4.2105263157894735,4.368421052631579
spot_253,어영공원,40.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.148148148148148,4.37037037037037
spot_254,서귀포칠십리축제,54.0,지역 축제/행사,missing,missing,missing,missing,missing,missing,missing,3.2,3.2
spot_255,아라리오뮤지엄 탑동시네마,60.0,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,missing,missing,4.0,4.3076923076923075
spot_256,삼다수숲길,90.0,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.285714285714286,4.285714285714286
spot_257,대비공원,30.0,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.0,4.0
spot_258,제주축산진흥원 제주마 방목지,26.25,자연관광지,체험 활동 관광지,missing,missing,missing,missing,missing,missing,4.0625,4.1875
spot_259,평대리해수욕장,71.37931034482759,자연관광지,missing,missing,missing,missing,missing,missing,missing,4.172413793103448,4.206896551724138
spot_260,한담몰,34.285714285714285,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,3.9285714285714284,3.9285714285714284
spot_262,제주물,30.0,체험 활동 관광지,missing,missing,missing,missing,missing,missing,missing,5.0,5.0
spot_263,제주소품 함덕점,20.0,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,2.3333333333333335,3.3333333333333335
spot_264,소인국테마파크,80.0,"테마시설(놀이공원, 워터파크)",missing,missing,missing,missing,missing,missing,missing,3.5833333333333335,3.9166666666666665
spot_265,수목원테마파크 아이스뮤지엄,83.33333333333333,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,missing,missing,3.111111111111111,3.5555555555555554
spot_266,이호털보배낚시,150.0,체험 활동 관광지,missing,missing,missing,missing,missing,missing,missing,4.0,4.0
spot_267,최남단 모슬포방어축제,80.0,지역 축제/행사,missing,missing,missing,missing,missing,missing,missing,4.0,4.0
spot_268,사계항,50.0,"산책로, 둘레길 등",자연관광지,missing,missing,missing,missing,missing,missing,4.0,3.6666666666666665
spot_269,액티브파크,80.0,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",체험 활동 관광지,missing,missing,missing,missing,missing,missing,4.083333333333333,4.333333333333333
spot_270,사라봉,56.470588235294116,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.235294117647059,4.235294117647059
spot_273,유난히아름다운오늘,135.0,"상업지구(거리, 시장, 쇼핑시설)",체험 활동 관광지,missing,missing,missing,missing,missing,missing,2.0,2.5
spot_274,하고수동해변,48.46153846153846,자연관광지,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",missing,missing,missing,missing,missing,missing,4.269230769230769,4.3076923076923075
spot_275,산양곶자왈,70.0,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.0,3.6666666666666665
spot_276,서귀포향토오일시장,30.0,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,3.7777777777777777,3.7777777777777777
spot_277,하도어촌체험마을,165.0,체험 활동 관광지,missing,missing,missing,missing,missing,missing,missing,3.5,4.0
