spot_id,관광지,평균 상주시간(분),재방문비율,재방문의향점수,평균 동반자수,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","문화 시설(공연장, 영화관, 전시관 등)","상업지구(거리, 시장, 쇼핑시설)","레저/스포츠 관련 시설(스키, 카트, 수상레저)","테마시설(놀이공원, 워터파크)","산책로, 둘레길 등",지역 축제/행사,체험 활동 관광지
spot_277,드르쿰다in성산,94.41176471,0.029411765,4.058823529,1.548387097,0,0,0,0,1,1,0,0,1
spot_278,애월카페거리,61.76470588,0.333333333,4.235294118,1.857142857,0,0,0,1,0,0,0,0,0
spot_279,도두봉공원,43.33333333,0.111111111,3.888888889,1.625,1,0,0,0,0,0,0,0,0
spot_281,로봇플래닛,90,0,3.5,2.2,0,0,1,0,0,1,0,0,1
spot_284,망루등대,17.14285714,0.285714286,3.571428571,1.6,1,1,0,0,0,0,1,0,1
spot_286,산굼부리,69.609375,0.28125,4.34375,1.821782178,1,1,0,0,0,0,1,0,1
spot_288,화조원,102.8571429,0.095238095,4.142857143,2.428571429,1,0,0,0,0,1,0,0,1
spot_289,너븐숭이4.3기념관,33.75,0.25,3.5,1,0,1,0,0,0,0,0,0,0
spot_291,아끈다랑쉬오름,43.84615385,0.076923077,3.538461538,0.555555556,1,0,0,0,0,0,1,0,0
spot_292,동방파제,95,0.333333333,4.5,1.333333333,1,0,0,0,1,0,0,0,1
spot_295,용연계곡,37,0.2,4,0.576923077,1,1,0,0,0,0,0,0,0
spot_296,사려니숲길,68.42696629,0.247191011,4.415730337,1.515151515,1,0,0,0,0,0,1,0,1
spot_297,금능석물원,45,0,4,0,0,1,0,0,0,0,0,0,0
spot_298,서복전시관,35,0.166666667,3.25,0.5,0,0,1,0,0,0,0,0,0
spot_300,제주현대미술관,65.10638298,0.14893617,4.531914894,0.87804878,0,0,1,0,0,0,0,0,0
spot_301,우리 승마장,30,0,3.571428571,1.5,0,0,0,0,0,0,0,0,1
spot_302,테디베어뮤지엄 제주점,61.66666667,0.444444444,3.555555556,1.764705882,0,0,1,0,0,0,0,0,0
spot_303,본태박물관,86.53846154,0.115384615,3.884615385,0.590909091,0,1,0,0,0,0,0,0,0
spot_304,파파빌레,60,0,3.5,3,0,0,0,0,0,0,0,1,0
spot_305,제주맥주 양조장,91.66666667,0,3.555555556,1.461538462,0,0,1,0,0,0,0,0,1
spot_306,꽃길만걷차 성산본점,70,0,4.333333333,2,0,0,0,1,1,0,0,0,1
spot_307,넥슨컴퓨터박물관,113.1818182,0.045454545,3.954545455,1.55,0,1,0,0,0,0,0,0,0
spot_311,퍼시픽리솜 마린스테이지 바다요가,90,0,5,0,0,0,0,0,1,0,0,0,0
spot_315,이마트 서귀포점,44.70588235,0.568627451,4.196078431,2.027027027,0,0,0,1,0,0,0,0,0
spot_318,서귀포농업기술센터,140,0,4.333333333,0.333333333,0,0,1,0,0,0,0,0,0
spot_321,액트몬 제주중문점,70.71428571,0.214285714,3.428571429,1.909090909,0,0,1,0,0,1,0,0,1
spot_322,한라산국립공원 관음사탐방로,404.2857143,0.380952381,4.523809524,0.764705882,1,0,0,0,0,0,1,0,1
spot_324,명월팽나무군락,40,0,3.666666667,2.5,1,1,0,0,0,0,1,0,0
spot_325,어승생,80,0,4.666666667,2.5,1,0,0,0,0,0,0,0,0
spot_326,마라도,109.4117647,0.147058824,3.970588235,1.25,1,1,0,0,0,1,0,0,1
spot_328,올레길 17코스(광령-제주원도심 올레),50.625,0.25,4.25,0.615384615,0,0,0,0,0,0,1,0,0
spot_329,신화테마파크,92.47058824,0.447058824,3.882352941,2.138461538,0,0,0,0,0,1,0,0,0
spot_330,비양도,78.29268293,0.170731707,3.975609756,1.176470588,1,1,0,0,0,0,1,0,0
spot_228,제주백화점,60,0,3.5,6.5,0,0,0,1,0,0,0,0,0
spot_333,하도해변,35,0.166666667,4,0.909090909,1,0,0,0,0,0,1,0,0
spot_335,서프라이즈테마파크,60,0,3.4,2.5,0,0,0,0,0,1,0,0,0
spot_336,귤의 정원 바령,62.5,0.166666667,4.166666667,3.375,0,0,0,0,0,0,0,0,1
spot_337,새연교,35.92105263,0.381578947,3.907894737,1.258064516,1,1,0,1,1,0,1,1,1
spot_339,루나피크닉,90,0.5,4,0,1,0,0,0,0,0,0,0,0
spot_341,새별프렌즈,63.33333333,0.111111111,3.666666667,1.166666667,0,0,0,0,0,1,0,0,1
spot_342,제주국제평화센터,52.5,0,4.25,2,0,0,1,0,0,0,0,0,0
spot_343,제주 세계자연유산센터,60,0.5,4.5,1,1,0,1,0,0,0,0,0,0
spot_345,서빈백사,38.10810811,0.351351351,4.432432432,0.916666667,1,0,0,0,0,0,1,0,1
spot_347,메밀꽃밭,30,0,3,1.5,1,0,0,0,0,0,0,0,0
spot_348,사려니숲길 붉은오름 입구,72.63157895,0.368421053,4.421052632,1.733333333,1,0,0,0,0,0,1,0,0
spot_350,이호테우등대,38.75,0.479166667,4.104166667,1.714285714,1,1,1,0,0,1,1,0,0
spot_352,이레저버기카,60,0,3,3,0,0,0,0,0,0,0,0,1
spot_353,방림원,60,0,4.25,1.666666667,1,0,0,0,0,0,0,0,0
spot_355,한림수협 다목적어업인종합지원센터,30,0,4,2,0,0,0,1,0,0,0,0,0
spot_356,일출랜드,90,0,3.25,0.5,1,0,0,0,0,1,0,0,1
spot_357,쇠소깍전통나룻배 카약체험지점,63.75,0.25,3.625,2,0,0,0,0,0,0,0,0,1
spot_358,엉덩물계곡,45,0,4,2,1,0,0,0,0,0,0,1,0
spot_360,신창풍차해안도로,46.32911392,0.316455696,4.35443038,1.579710145,1,1,0,0,0,0,1,0,0
spot_361,성지도예,120,0,4,2,0,0,0,0,0,0,0,0,1
spot_364,서귀포칠십리시공원,48,0.3,3.9,0.7,1,0,0,0,0,0,0,0,0
spot_365,이중섭미술관,40.71428571,0.333333333,4.095238095,0.742857143,0,0,1,0,0,0,0,0,0
spot_366,만장굴,73.09859155,0.225352113,3.591549296,2.017241379,1,1,0,0,0,0,0,1,1
spot_370,감귤박물관,56.08695652,0.086956522,3.608695652,1.736842105,0,1,0,0,0,0,0,0,0
spot_373,절물자연휴양림,78.57142857,0.19047619,4.428571429,1.833333333,1,0,0,0,0,0,1,0,1
spot_374,이쁜선물가게,15,0,3.5,1,0,0,0,1,0,0,0,0,0
spot_377,서귀포유람선,102.8571429,0,4.535714286,2.111111111,0,0,0,0,1,0,0,0,0
spot_378,올레일품,75,0,3.5,0.5,0,0,0,0,0,0,0,0,1
spot_379,방주교회,39.54545455,0.25,3.977272727,1.684210526,0,1,0,0,0,0,0,0,0
