TRAVEL_ID,spot_id,DGSTFN
d_d009295,spot_522,4.0
d_d009223,spot_54,5.0
d_d002494,spot_525,4.0
d_d010185,spot_526,4.0
d_d001144,spot_97,5.0
d_d003519,spot_119,4.0
d_d005005,spot_360,5.0
d_d009638,spot_82,5.0
d_d001883,spot_40,4.0
d_d001934,spot_3,5.0
d_d010685,spot_94,4.0
d_d006007,spot_530,2.0
d_d008208,spot_531,5.0
d_d011481,spot_93,5.0
d_d011170,spot_93,5.0
d_d000190,spot_90,5.0
d_d000334,spot_532,5.0
d_d004449,spot_533,5.0
d_d002465,spot_75,5.0
d_d009631,spot_197,3.0
d_d003527,spot_534,5.0
d_d010183,spot_535,4.0
d_d000104,spot_115,4.0
d_d002040,spot_126,5.0
d_d010264,spot_22,5.0
d_d004964,spot_536,5.0
d_d004384,spot_209,5.0
d_d002061,spot_155,4.0
d_d001730,spot_537,5.0
d_d003239,spot_9,3.0
d_d004407,spot_315,4.0
d_d000898,spot_303,5.0
d_d006277,spot_540,4.0
d_d009470,spot_39,4.0
d_d002638,spot_541,5.0
d_d001883,spot_265,4.0
d_d010419,spot_200,3.0
d_d000565,spot_278,5.0
d_d004600,spot_42,3.0
d_d002400,spot_418,5.0
d_d006140,spot_206,5.0
d_d004633,spot_543,4.0
d_d000248,spot_544,4.0
d_d010253,spot_185,4.0
d_d001041,spot_547,5.0
d_d005085,spot_548,5.0
d_d002356,spot_206,4.0
d_d002412,spot_97,4.0
d_d003649,spot_549,3.0
d_d003547,spot_550,5.0
d_d001909,spot_360,5.0
d_d002954,spot_370,5.0
d_d009942,spot_553,4.0
d_d004635,spot_128,4.0
d_d007128,spot_166,4.0
d_d006869,spot_555,4.0
d_d002283,spot_115,4.0
d_d004580,spot_40,5.0
d_d000283,spot_211,5.0
d_d012316,spot_558,5.0
d_d003286,spot_559,5.0
d_d003344,spot_29,4.0
d_d002744,spot_360,4.0
d_d002130,spot_561,4.0
d_d009319,spot_562,4.0
d_d000368,spot_12,4.0
d_d007963,spot_40,5.0
d_d002091,spot_563,5.0
d_d000122,spot_564,5.0
d_d004845,spot_565,3.0
d_d000892,spot_209,4.0
d_d006232,spot_393,5.0
d_d006185,spot_139,4.0
d_d007632,spot_16,5.0
d_d001669,spot_568,4.0
d_d002819,spot_379,5.0
d_d000846,spot_569,4.0
d_d000249,spot_380,5.0
d_d009543,spot_31,4.0
d_d001894,spot_141,5.0
d_d006098,spot_265,5.0
d_d002998,spot_75,4.0
d_d006307,spot_82,4.0
a_a003218,spot_166,5.0
d_d000985,spot_168,4.0
d_d002987,spot_572,4.0
d_d001455,spot_69,5.0
d_d001918,spot_54,5.0
d_d006300,spot_360,4.0
d_d002416,spot_81,4.0
d_d000203,spot_82,5.0
d_d002061,spot_162,4.0
d_d002651,spot_161,5.0
d_d004972,spot_574,4.0
d_d007968,spot_575,5.0
d_d001558,spot_101,5.0
d_d001716,spot_360,3.0
d_d002447,spot_166,4.0
d_d000955,spot_576,4.0
d_d002398,spot_577,4.0
d_d006322,spot_3,5.0
d_d009677,spot_119,3.0
d_d001903,spot_578,5.0
d_d000419,spot_119,4.0
d_d000928,spot_209,5.0
d_d007109,spot_206,5.0
d_d012342,spot_579,4.0
d_d001288,spot_66,3.0
d_d001601,spot_580,4.0
d_d002494,spot_581,4.0
d_d002503,spot_120,4.0
d_d002317,spot_132,3.0
d_d000043,spot_373,5.0
d_d012260,spot_582,4.0
d_d004550,spot_583,5.0
d_d000746,spot_202,4.0
d_d005188,spot_119,5.0
d_d010341,spot_39,5.0
d_d003199,spot_16,4.0
d_d001683,spot_584,4.0
d_d000012,spot_585,5.0
d_d010056,spot_119,5.0
d_d002450,spot_8,3.0
d_d002861,spot_81,4.0
d_d000676,spot_211,5.0
d_d000044,spot_168,5.0
d_d009016,spot_119,3.0
d_d004268,spot_209,5.0
d_d003771,spot_119,5.0
d_d010103,spot_589,3.0
d_d000251,spot_19,5.0
d_d004191,spot_209,5.0
d_d011890,spot_356,4.0
d_d002138,spot_366,4.0
d_d009681,spot_590,5.0
d_d007825,spot_591,4.0
d_d001370,spot_247,4.0
d_d002328,spot_16,5.0
d_d000248,spot_593,5.0
d_d010628,spot_594,5.0
d_d000564,spot_279,3.0
d_d009389,spot_595,5.0
d_d010070,spot_390,3.0
d_d009331,spot_418,5.0
d_d001160,spot_209,5.0
d_d009918,spot_598,5.0
d_d011170,spot_43,5.0
d_d003286,spot_94,5.0
d_d000770,spot_360,5.0
d_d009315,spot_34,5.0
d_d008247,spot_89,5.0
d_d000451,spot_603,4.0
d_d002160,spot_605,2.0
d_d000343,spot_94,3.0
d_d001811,spot_16,5.0
d_d000415,spot_119,3.0
d_d010671,spot_606,5.0
d_d000743,spot_607,4.0
d_d006140,spot_572,4.0
d_d007636,spot_608,5.0
d_d006672,spot_609,4.0
d_d004056,spot_39,5.0
d_d007630,spot_24,5.0
d_d000846,spot_11,4.0
d_d000308,spot_75,4.0
d_d001242,spot_610,5.0
d_d000029,spot_213,5.0
d_d006185,spot_612,3.0
d_d010383,spot_613,3.0
d_d010842,spot_147,4.0
d_d001418,spot_407,5.0
d_d001458,spot_397,3.0
d_d000411,spot_366,5.0
d_d000948,spot_209,5.0
d_d004849,spot_82,5.0
d_d007019,spot_614,3.0
d_d003196,spot_397,5.0
d_d007425,spot_296,5.0
d_d010057,spot_345,5.0
d_d007452,spot_615,5.0
d_d005963,spot_480,5.0
d_d002821,spot_616,3.0
d_d001908,spot_211,5.0
d_d002611,spot_166,4.0
d_d001701,spot_618,4.0
d_d000468,spot_620,5.0
d_d006214,spot_42,5.0
d_d012400,spot_379,5.0
d_d001403,spot_623,5.0
d_d001046,spot_19,5.0
d_d001625,spot_39,4.0
d_d000524,spot_380,5.0
